Statistics Canada, CANSIM using CHASS.

"COL0","Date (YYYY-MM-DD)"
"COL1","v15855886 Alberta; Chained (2002) dollars; Gross domestic product (GDP) *Terminated*"

"COL0","COL1"

1981,81989000000
1982,79381000000
1983,78445000000
1984,81781000000
1985,88332000000
1986,86340000000
1987,88135000000
1988,95173000000
1989,96522000000
1990,98683000000
1991,99169000000
1992,100085000000
1993,107266000000
1994,113942000000
1995,117518000000
1996,119905000000
1997,128018000000
1998,134750000000
1999,136603000000
2000,144886000000
2001,147394000000
2002,150594000000
2003,155359000000
2004,163564000000
2005,170872000000
2006,180852000000
2007,184008000000
2008,185668000000
2009,177376000000
2010,183251000000


